Континент,Страна,Город,Гостиница,Звезды,Дата,Дата окончания,Цена с перелетом,Цена со скидкой и перелетом
Europe,Portugal,Lisbon,Enigma Hotel & Spa,4,09/09/2023,19/08/2023,"1.580,00","1.501,00"
South America,Ecuador,Quito,Curiosity Hotel,2,09/08/2023,19/08/2023,330,"313,5"
Europe,Greece,Thessaloniki,White Coast Resort & Spa,5,10/08/2023,20/08/2023,"1.400,00","1.330,00"
Asia,United Arab Emirates,Abu Dhabi,Chateau Hotel,2,11/08/2023,21/08/2023,350,"332,5"
Europe,Netherlands,Amsterdam,Noble Obelisk Hotel,5,13/08/2023,23/08/2023,"1.850,00","1.757,50"
North America,Costa Rica,Tamarindo,Summer Isle Hotel,2,26/08/2023,08/07/2023,310,"294,5"
North America,Jamaica,Kingston,Grandiose Renaissance Resort,3,09/08/2023,19/08/2023,620,589
Australia,Papua New Guinea,Lae,Crown Baron Hotel,5,11/08/2023,21/08/2023,"1.400,00","1.330,00"
Australia,Australia,Melbourne,Comfort Hotel & Spa,2,13/08/2023,23/08/2023,300,285
Australia,Fiji,Suva,Crescent Resort,3,14/08/2023,24/08/2023,640,608
Africa,Tunisia,Sousse,Rose Jungle Resort & Spa,4,15/08/2023,25/08/2023,960,912
Asia,Maldives,Magoodhoo,Emerald Oyster Resort,3,17/08/2023,27/08/2023,720,684
Asia,Philippines,Cagayan de Oro,Quiet Dawn Hotel,2,19/08/2023,29/08/2023,360,342
North America,Barbados,Bridgetown,Cinnamon Hotel & Spa,4,25/08/2023,04/08/2023,980,931
South America,Argentina,Buenos Aires,Revelation Resort,4,26/08/2023,05/08/2023,"1.020,00",969
Asia,Qatar,Doha,Excursion Resort,5,27/08/2023,08/08/2023,"1.400,00","1.330,00"
Asia,Philippines,Davao,Pinnacle Hotel,4,29/08/2023,08/08/2023,"1.100,00","1.045,00"
North America,Mexico,Mexico City,Parallel Tower Resort,2,30/08/2023,09/08/2023,290,"275,5"
Africa,Sierra Leone,Freetown,Royal Tide Resort,2,02/08/2023,12/08/2023,250,"237,5"
North America,Dominican Republic,Santo Domingo,Elite Ocean Resort,2,02/08/2023,12/08/2023,270,"256,5"
Europe,Italy,Florence,Mirror Resort,4,08/08/2023,16/08/2023,"1.100,00","1.045,00"
South America,Venezuela,Maracaibo,Aquamarine Pier Hotel,1,08/08/2023,16/08/2023,350,"332,5"
North America,Dominican Republic,Punta Cana,Obsidian Estate Hotel,3,08/08/2023,17/08/2023,540,513
Europe,Greece,Chania,Iceberg Resort,5,11/08/2023,21/08/2023,"1.300,00","1.235,00"
North America,Jamaica,Kingston,Obsidian Shore Hotel,4,17/08/2023,27/08/2023,"1.220,00","1.159,00"
Africa,Tunisia,Sousse,Lord's Spring Hotel,2,22/08/2023,01/09/2023,220,209
Asia,Maldives,Addu City,Saffron Peaks Resort,4,23/08/2023,02/09/2023,"1.300,00","1.235,00"
Europe,Greece,Pefkochori,Antiquity Resort & Spa,4,23/08/2023,02/09/2023,"1.220,00","1.159,00"
South America,Argentina,Mendoza,Ancient Raven Hotel,5,05/09/2023,15/09/2023,"1.480,00","1.406,00"
South America,Brazil,Rio de Janeiro,Lunar Brook Hotel,5,08/09/2023,18/09/2023,"1.700,00","1.615,00"
Asia,Turkey,Antalya,Luxury Hotel,3,10/09/2023,20/09/2023,680,646
Europe,Spain,Barcelona,Regal Square Resort,3,13/09/2023,23/09/2023,520,494
North America,Haiti,Port-au-Prince,Mahogany Hotel,3,13/09/2023,23/09/2023,720,684
Africa,Seychelles,Anse Boileau,Sunset Pass Resort,5,15/09/2023,25/09/2023,"1.620,00","1.539,00"
North America,El Salvador,Ilopango,Seashore Hotel & Spa,4,16/09/2023,26/09/2023,890,"845,5"
Africa,Egypt,Alexandria,Secluded Gorge Hotel & Spa,5,17/09/2023,27/09/2023,"2.050,00","1.947,50"
Europe,Spain,Madrid,Radiance Resort,2,21/09/2023,01/10/2023,380,361
South America,Peru,Lima,Supreme Treasure Hotel,4,23/09/2023,03/10/2023,940,893
South America,Venezuela,Caracas,Sightsee Hotel,3,23/09/2023,03/10/2023,440,418
Africa,South Africa,Cape Town,Remote Bear Hotel,5,27/09/2023,08/10/2023,720,684
